"cluster","00:00:00","01:00:00","02:00:00","03:00:00","04:00:00","05:00:00","06:00:00","07:00:00","08:00:00","09:00:00","10:00:00","11:00:00","12:00:00","13:00:00","14:00:00","15:00:00","16:00:00","17:00:00","18:00:00","19:00:00","20:00:00","21:00:00","22:00:00","23:00:00","load_condition","frequency"
"Shape 1",0.530869147372495,0.527688962484147,0.529431216987127,0.533334922402022,0.560812600515961,0.609076688220293,0.676035352005934,0.758171603132062,0.836916892023546,0.909369511497085,0.933204725876436,0.940786678187112,0.931137675324998,0.921506643513297,0.91250460477684,0.891752625615628,0.850695181492042,0.77946386708659,0.707426302110443,0.657091542936754,0.608463738622164,0.573226696149988,0.546816871473986,0.527984590651431,"Summer weekends","Infrequent load shape"
"Shape 1",0.530869147372495,0.527688962484147,0.529431216987127,0.533334922402022,0.560812600515961,0.609076688220293,0.676035352005934,0.758171603132062,0.836916892023546,0.909369511497085,0.933204725876436,0.940786678187112,0.931137675324998,0.921506643513297,0.91250460477684,0.891752625615628,0.850695181492042,0.77946386708659,0.707426302110443,0.657091542936754,0.608463738622164,0.573226696149988,0.546816871473986,0.527984590651431,"Summer workdays","Frequent load shape"
"Shape 1",0.530869147372495,0.527688962484147,0.529431216987127,0.533334922402022,0.560812600515961,0.609076688220293,0.676035352005934,0.758171603132062,0.836916892023546,0.909369511497085,0.933204725876436,0.940786678187112,0.931137675324998,0.921506643513297,0.91250460477684,0.891752625615628,0.850695181492042,0.77946386708659,0.707426302110443,0.657091542936754,0.608463738622164,0.573226696149988,0.546816871473986,0.527984590651431,"Winter weekends","Infrequent load shape"
"Shape 1",0.530869147372495,0.527688962484147,0.529431216987127,0.533334922402022,0.560812600515961,0.609076688220293,0.676035352005934,0.758171603132062,0.836916892023546,0.909369511497085,0.933204725876436,0.940786678187112,0.931137675324998,0.921506643513297,0.91250460477684,0.891752625615628,0.850695181492042,0.77946386708659,0.707426302110443,0.657091542936754,0.608463738622164,0.573226696149988,0.546816871473986,0.527984590651431,"Winter workdays","Frequent load shape"
"Shape 10",0.228875193550468,0.228351265065383,0.228027524532264,0.232210297528122,0.310155629884337,0.35440414543789,0.440884470737698,0.531099698779046,0.616230202221124,0.687576202439082,0.72635489744555,0.749017949028689,0.729137827482039,0.680873490923747,0.627693848771696,0.563136541137037,0.48171633882203,0.364083539963171,0.299446844960961,0.279010874162331,0.273975013919816,0.268132817471325,0.257619481281866,0.235216720935956,"Summer weekends","Infrequent load shape"
"Shape 10",0.228875193550468,0.228351265065383,0.228027524532264,0.232210297528122,0.310155629884337,0.35440414543789,0.440884470737698,0.531099698779046,0.616230202221124,0.687576202439082,0.72635489744555,0.749017949028689,0.729137827482039,0.680873490923747,0.627693848771696,0.563136541137037,0.48171633882203,0.364083539963171,0.299446844960961,0.279010874162331,0.273975013919816,0.268132817471325,0.257619481281866,0.235216720935956,"Winter workdays","Infrequent load shape"
"Shape 10",0.228875193550468,0.228351265065383,0.228027524532264,0.232210297528122,0.310155629884337,0.35440414543789,0.440884470737698,0.531099698779046,0.616230202221124,0.687576202439082,0.72635489744555,0.749017949028689,0.729137827482039,0.680873490923747,0.627693848771696,0.563136541137037,0.48171633882203,0.364083539963171,0.299446844960961,0.279010874162331,0.273975013919816,0.268132817471325,0.257619481281866,0.235216720935956,"Summer workdays","Infrequent load shape"
"Shape 10",0.228875193550468,0.228351265065383,0.228027524532264,0.232210297528122,0.310155629884337,0.35440414543789,0.440884470737698,0.531099698779046,0.616230202221124,0.687576202439082,0.72635489744555,0.749017949028689,0.729137827482039,0.680873490923747,0.627693848771696,0.563136541137037,0.48171633882203,0.364083539963171,0.299446844960961,0.279010874162331,0.273975013919816,0.268132817471325,0.257619481281866,0.235216720935956,"Winter weekends","Infrequent load shape"
"Shape 2",0.779019838409212,0.777367505646669,0.776438987392782,0.771424776989137,0.756491374140132,0.734627425930838,0.691899387850946,0.651480568653163,0.594747240373426,0.555824275547316,0.532931218762798,0.513795815474123,0.521160141109712,0.519664575988404,0.528997110725951,0.541383559823749,0.584479148821631,0.648437117455363,0.705221675743788,0.759274838847084,0.780815682987,0.77813045696665,0.761965377293464,0.747240543531942,"Summer weekends","Infrequent load shape"
"Shape 2",0.779019838409212,0.777367505646669,0.776438987392782,0.771424776989137,0.756491374140132,0.734627425930838,0.691899387850946,0.651480568653163,0.594747240373426,0.555824275547316,0.532931218762798,0.513795815474123,0.521160141109712,0.519664575988404,0.528997110725951,0.541383559823749,0.584479148821631,0.648437117455363,0.705221675743788,0.759274838847084,0.780815682987,0.77813045696665,0.761965377293464,0.747240543531942,"Winter weekends","Infrequent load shape"
