"cluster","00:00:00","01:00:00","02:00:00","03:00:00","04:00:00","05:00:00","06:00:00","07:00:00","08:00:00","09:00:00","10:00:00","11:00:00","12:00:00","13:00:00","14:00:00","15:00:00","16:00:00","17:00:00","18:00:00","19:00:00","20:00:00","21:00:00","22:00:00","23:00:00","load_condition","frequency"
"Shape 1",0.737785069208667,0.726904762225985,0.721718724512811,0.720524210482175,0.725222304265776,0.743406319998508,0.776948655632179,0.825527726014067,0.864998093615918,0.899137916088328,0.923762410478604,0.937693906958957,0.944397943441855,0.947688895382026,0.950002421220073,0.948104971763953,0.938441843986014,0.913540318054103,0.883551127769722,0.858187570350814,0.84384476137045,0.820550293061968,0.791132536156145,0.758554820016571,"Summer weekends","Frequent load shape"
"Shape 1",0.737785069208667,0.726904762225985,0.721718724512811,0.720524210482175,0.725222304265776,0.743406319998508,0.776948655632179,0.825527726014067,0.864998093615918,0.899137916088328,0.923762410478604,0.937693906958957,0.944397943441855,0.947688895382026,0.950002421220073,0.948104971763953,0.938441843986014,0.913540318054103,0.883551127769722,0.858187570350814,0.84384476137045,0.820550293061968,0.791132536156145,0.758554820016571,"Summer workdays","Frequent load shape"
"Shape 1",0.737785069208667,0.726904762225985,0.721718724512811,0.720524210482175,0.725222304265776,0.743406319998508,0.776948655632179,0.825527726014067,0.864998093615918,0.899137916088328,0.923762410478604,0.937693906958957,0.944397943441855,0.947688895382026,0.950002421220073,0.948104971763953,0.938441843986014,0.913540318054103,0.883551127769722,0.858187570350814,0.84384476137045,0.820550293061968,0.791132536156145,0.758554820016571,"Winter weekends","Frequent load shape"
"Shape 1",0.737785069208667,0.726904762225985,0.721718724512811,0.720524210482175,0.725222304265776,0.743406319998508,0.776948655632179,0.825527726014067,0.864998093615918,0.899137916088328,0.923762410478604,0.937693906958957,0.944397943441855,0.947688895382026,0.950002421220073,0.948104971763953,0.938441843986014,0.913540318054103,0.883551127769722,0.858187570350814,0.84384476137045,0.820550293061968,0.791132536156145,0.758554820016571,"Winter workdays","Frequent load shape"
"Shape 10",0.86059574824471,0.885631094895302,0.893563127819116,0.89537767148444,0.883775156807436,0.873452647812694,0.836993108930011,0.743859069950844,0.614112637720819,0.549196596185904,0.514591061279922,0.499439868509374,0.491288475285181,0.48945431661565,0.490130761378695,0.494194570474575,0.509390673032592,0.564793672309966,0.641091983096888,0.703779665106631,0.785278852859396,0.834209076437445,0.825040617173935,0.817122294479862,"Summer weekends","Infrequent load shape"
"Shape 10",0.86059574824471,0.885631094895302,0.893563127819116,0.89537767148444,0.883775156807436,0.873452647812694,0.836993108930011,0.743859069950844,0.614112637720819,0.549196596185904,0.514591061279922,0.499439868509374,0.491288475285181,0.48945431661565,0.490130761378695,0.494194570474575,0.509390673032592,0.564793672309966,0.641091983096888,0.703779665106631,0.785278852859396,0.834209076437445,0.825040617173935,0.817122294479862,"Winter workdays","Infrequent load shape"
"Shape 10",0.86059574824471,0.885631094895302,0.893563127819116,0.89537767148444,0.883775156807436,0.873452647812694,0.836993108930011,0.743859069950844,0.614112637720819,0.549196596185904,0.514591061279922,0.499439868509374,0.491288475285181,0.48945431661565,0.490130761378695,0.494194570474575,0.509390673032592,0.564793672309966,0.641091983096888,0.703779665106631,0.785278852859396,0.834209076437445,0.825040617173935,0.817122294479862,"Summer workdays","Infrequent load shape"
"Shape 10",0.86059574824471,0.885631094895302,0.893563127819116,0.89537767148444,0.883775156807436,0.873452647812694,0.836993108930011,0.743859069950844,0.614112637720819,0.549196596185904,0.514591061279922,0.499439868509374,0.491288475285181,0.48945431661565,0.490130761378695,0.494194570474575,0.509390673032592,0.564793672309966,0.641091983096888,0.703779665106631,0.785278852859396,0.834209076437445,0.825040617173935,0.817122294479862,"Winter weekends","Infrequent load shape"
"Shape 2",0.596435262056325,0.578720339258519,0.570851722989515,0.567218303193015,0.571651837814941,0.58566095253573,0.633739624888049,0.699271013316668,0.770081418979208,0.842613315459142,0.895184381660885,0.926091269484749,0.940897135611372,0.947428215623637,0.95082003522104,0.947424148566052,0.930621044125223,0.8839686200823,0.819545457465519,0.773384240566293,0.744459906526255,0.709998190739737,0.66948363438223,0.629434481434479,"Summer weekends","Frequent load shape"
"Shape 2",0.596435262056325,0.578720339258519,0.570851722989515,0.567218303193015,0.571651837814941,0.58566095253573,0.633739624888049,0.699271013316668,0.770081418979208,0.842613315459142,0.895184381660885,0.926091269484749,0.940897135611372,0.947428215623637,0.95082003522104,0.947424148566052,0.930621044125223,0.8839686200823,0.819545457465519,0.773384240566293,0.744459906526255,0.709998190739737,0.66948363438223,0.629434481434479,"Winter weekends","Infrequent load shape"
"Shape 2",0.596435262056325,0.578720339258519,0.570851722989515,0.567218303193015,0.571651837814941,0.58566095253573,0.633739624888049,0.699271013316668,0.770081418979208,0.842613315459142,0.895184381660885,0.926091269484749,0.940897135611372,0.947428215623637,0.95082003522104,0.947424148566052,0.930621044125223,0.8839686200823,0.819545457465519,0.773384240566293,0.744459906526255,0.709998190739737,0.66948363438223,0.629434481434479,"Winter workdays","Frequent load shape"
"Shape 2",0.596435262056325,0.578720339258519,0.570851722989515,0.567218303193015,0.571651837814941,0.58566095253573,0.633739624888049,0.699271013316668,0.770081418979208,0.842613315459142,0.895184381660885,0.926091269484749,0.940897135611372,0.947428215623637,0.95082003522104,0.947424148566052,0.930621044125223,0.8839686200823,0.819545457465519,0.773384240566293,0.744459906526255,0.709998190739737,0.66948363438223,0.629434481434479,"Summer workdays","Frequent load shape"
